�Ⱓ,������Ʈ_���ǰ_������ȭ,������Ʈ_���ǰ_�Ƿ�,������Ʈ_���ǰ_������Ȱ,������Ʈ_���ǰ_������,������Ʈ_���ǰ_��ȭ,������Ʈ_���ǰ_�Ұ�,������Ʈ_��ǰ,������Ʈ_�Ѱ�,��ȭ��_���ǰ_��ȭ,��ȭ��_���ǰ_��������,��ȭ��_���ǰ_����ĳ�־�,��ȭ��_���ǰ_�����Ƿ�,��ȭ��_���ǰ_�Ƶ�-������,��ȭ��_���ǰ_������ǰ,��ȭ��_���ǰ_��ǰ,��ȭ��_���ǰ_�Ұ�,��ȭ��_��ǰ,��ȭ��_�Ѱ�,������_���ǰ_��Ȱ��ǰ,������_���ǰ_��ȭ,������_���ǰ_���_��_��Ÿ,������_���ǰ_�Ұ�,������_��ǰ_����_��_����,������_��ǰ_�Ｎ(�ż��Ϻ�),������_��ǰ_�Ұ�,������_�Ѱ�,��������۸���_���ǰ_�ϻ��ǰ,��������۸���_���ǰ_��Ȱ��ȭ,��������۸���_���ǰ_�Ұ�,��������۸���_��ǰ_������,��������۸���_��ǰ_�ż�������ǰ,��������۸���_��ǰ_������ǰ,��������۸���_��ǰ_�Ұ�,��������۸���_�Ѱ�
2012-12-31,-8.1,-9,-5.5,1.1,-3.6,-6.2,-4.9,-5,-5.7,-7.4,-1.4,-8.2,10.5,8.5,-0.3,-1.2,6.4,-0.2,,,,,,,,,,,,,,,,
2013-01-31,-24.5,-26.4,-24.1,-9,-21.9,-23.4,-26.5,-24.6,-11,-0.9,-5.6,-15.4,0.3,12.8,-7.1,-5.1,-22.5,-8.2,,,,,,,,,,,,,,,,
2013-02-28,-4,5,6.2,-10.1,5.1,2.1,14.5,8.9,-3.2,-19.8,-5.5,-7.6,2.3,3,-6.3,-5.5,55.1,1.7,,,,,,,,,,,,,,,,
2013-03-31,1.7,-0.8,-2.2,0.5,1.9,-0.4,-8.2,-4.4,4,-1.8,7.8,2.7,13.8,21.7,8,7.5,8.5,7.5,7.6,-2.2,7,6,9.9,15.8,10.6,8.5,,,,,,,,
2013-04-30,-6.8,-17.7,-9.8,-12.2,-9.6,-10.8,-9.3,-9.8,-3.2,-7.9,-6.7,-10.4,-2.5,12.1,4.1,-2.5,2.9,-1.9,6.6,-3.1,7.1,6,9.9,15.1,10.6,8.5,,,,,,,,
2013-05-31,2.4,-5,-4.3,-4.9,-5,-3,-6.1,-4.3,0.4,-2.8,0.6,-5.4,4.6,4.1,0.1,0.5,1.7,1,16.7,1.5,8.1,8.1,9.9,11.8,10.1,9.2,-7.4,-8.1,-7.6,-7.7,-6.5,-6.3,-7,-7.1
2013-06-30,20.6,4.4,4.2,5.2,7.2,8.3,-0.2,4.2,1.1,-3.1,3.2,,4.1,15.7,5.4,3.6,4.6,4.1,11.5,-0.1,7.6,7.3,11,9.1,10.8,9.2,-2.3,-4.9,-3.2,-2.7,-2.4,-2.4,-2.5,-2.6
2013-07-31,-1.2,-8.8,-4.3,-6.8,-7,-4.8,-4.6,-4.9,-3.8,-4.8,-2.4,-7.8,-0.7,4.2,1.4,-3.6,5.9,-2.1,13,-0.1,7.7,7.4,9,8.3,8.9,8.2,-2.7,-9.7,-5.1,-3,-3.4,-4.5,-3.6,-3.8
2013-08-31,2.9,-5.5,-2.1,3.7,-4.1,-0.9,-4.1,-2.6,4.6,1.5,3.8,5.6,5.8,6.9,11.9,5.7,11.5,6.6,2.2,4.2,8.5,7.7,14.3,10.1,13.8,11.1,-4.1,-7.2,-5.2,-6.8,-5.8,-9.3,-7.4,-7.1
2013-09-30,0.7,-7.1,-3.8,1.5,-2.1,-2.9,-7.5,-5.3,2.8,-1.4,2.6,0.3,8.9,-0.3,8.7,3.6,0.1,2.8,7.3,9.3,7.3,7.5,13.2,9.2,12.6,10.3,-6.5,-5.7,-6.3,-12.6,-6.6,-9.4,-10.2,-9.7
2013-10-31,-9.8,-15.2,-7.9,-14.2,-10.5,-10.5,-2.3,-6.4,-5.2,-6.5,-6.2,-10.4,-2.1,5.5,5.5,-3.1,6.6,-2.2,5.3,-7.4,8.2,6.6,12.3,14.1,12.5,9.8,-2.9,-5.6,-3.7,1.2,0.7,-2.8,-0.4,-0.9
2013-11-30,7.3,-3.1,1,7.7,-1.2,1.9,-0.4,1,1.1,0.1,4,0.2,15.1,5.7,12.2,5.5,3.7,5.3,12.6,0.2,6.7,6.6,14.4,13.7,14.3,10.8,-1.8,-2.1,-1.9,-2,-2.6,-4.3,-3,-2.8
2013-12-31,-3.3,-10.3,-5.2,-3.7,-11.3,-6.2,-4.8,-5.7,-3.2,-5.8,-2.9,-5.7,3.9,2.2,8.7,-0.6,1.1,-0.3,4.8,2.1,7.3,6.6,12.2,12,12.2,9.6,-0.6,-8.5,-3.5,-4.1,-2.7,-3.9,-3.7,-3.7
2014-01-31,19.6,6,11.8,1.8,10.3,11.8,25.3,18.6,2.8,-9.9,-0.6,-3.3,3.7,4.6,11.3,1.1,37.7,6.8,17.9,16.1,3.5,5.7,13.8,10.3,13.3,9.7,2.4,6.1,3.6,4.6,-0.8,5.1,3.7,3.7
2014-02-28,-6.9,-21.9,-18.6,-3.8,-18.3,-15.3,-29.3,-23.1,-2.5,2.7,2.5,-4.6,3.3,12.7,18.1,3.9,-29.2,-2.4,2,-15.7,3,0.7,7.5,5.7,7.3,4.1,-8.4,-10.1,-9,-18.4,-5.9,-14.6,-14.7,-14
2014-03-31,0.9,-6.3,-5.5,-3.3,-5,-3.7,-2.2,-3.7,3.8,-2.9,-3.8,-2.9,-1.5,-0.7,4.3,-1.7,4.2,-1.1,13.3,-5,3.4,3.4,9.4,7.6,9.2,6.5,-1,-1.2,-1.1,-2.3,-0.7,-3.1,-2.3,-2.1
2014-04-30,3.1,-3.9,-5.7,-0.8,-5.9,-2.9,-5.3,-4.1,-3.9,-4.1,-5.2,-0.4,5.1,-0.8,0.9,-1.3,-0.8,-1.4,9.2,-3.1,6.1,5.6,13.4,7.1,12.6,9.4,-1,-6.3,-2.7,-4,0.2,-4.2,-3.2,-3.2
2014-05-31,13.4,-8.6,-1.1,-1.3,-6.6,0.5,2.3,1.2,-1.9,0.8,-2.5,-3.8,-2.3,9.6,7.5,0.3,4.6,0.8,4.5,-4.9,3.9,3.2,10.9,2.8,9.9,6.9,0,-4.5,-1.5,-0.2,3.8,-2,0.1,-0.2
2014-06-30,0.5,-14.7,-7.8,-10.9,-13.3,-7.6,-4.5,-5.9,-5.8,-3.6,-6.7,-12.4,-4.9,-1.3,-1.6,-5.1,-0.2,-4.6,12.7,-0.2,4.3,4.6,8.6,1.1,7.7,6.3,-4.5,-10.1,-6.4,-3.9,-2.5,-4.7,-3.9,-4.2
2014-07-31,-0.5,-9.7,-6.5,-7.5,-9.3,-5.8,-4.1,-4.6,4.5,4.6,-1,-1.1,2.3,1.3,5.5,2.7,0.4,2,7.2,-2.3,4.7,4.4,11.8,7.6,11.2,8.2,-3.3,-7,-4.5,-2,-0.9,-5.5,-2.9,-3.1
2014-08-31,-3.6,-2.8,3.1,-8.2,-6,-1.4,5.1,3.2,13.6,3.7,18.6,-13.7,10.8,-4.9,9.7,6.4,33.1,10.5,25.8,5.5,3,4.9,3.1,1.5,2.9,3.8,-1.1,-4.9,-2.3,-3.7,-10.2,-1.6,-3.9,-3.7
2014-09-30,2.7,-15.2,-9.8,-2.5,-8.8,-7.1,-12.6,-10.1,-5,0.7,-2.2,-7.9,-4.4,2.9,1.2,-2.4,-20.7,-6.3,6.2,-5.4,12.1,9.8,8.4,-0.1,7.4,8.4,-2.2,-3.5,-2.6,-3.3,-2.4,-6.4,-4.2,-4
2014-10-31,5.9,-1.6,-3,-4.6,-5.7,-1,-0.3,-0.9,-3.5,-3.8,-0.8,-6.5,-1.6,-3.1,-2.6,-2.9,3.8,-2.2,13.2,-15.1,5.9,4.8,7.8,3,7.2,6.1,-5.5,-3.8,-5,0.5,-4.2,-5.6,-2.7,-3.1
2014-11-30,1.3,-12.6,-5,-17.1,-12.2,-6.3,-2.6,-4.7,-6.3,-8.5,-8.8,-9.6,-13.6,-0.9,0.8,-7.4,0.6,-6.5,7.6,-25.9,8.7,6.7,11.8,6,11.1,9.1,-1.6,-5.9,-3.2,-4.6,-3.7,-4.2,-4.2,-4.1
2014-12-31,1.1,-4.7,-5.8,-8.7,1.3,-3.2,-4.1,-3.8,-2.5,-4,-3.1,-4.2,5,-0.8,-3.5,-1.6,4.5,-0.9,13.4,-31.7,45,37.2,9.9,6.9,9.5,22.3,-2,-2.8,-2.2,-1,-2.7,-1.8,-1.7,-1.8
2015-01-31,-3.9,-15.3,-16.3,-9.9,-16.1,-12.8,-22.3,-18.3,-8.1,-0.7,-6.6,-14.8,-5.1,0.3,1,-5,-34.5,-11,1.7,-45.3,5.3,0.9,7.4,4.2,7,4.2,-13.2,-13.8,-13.4,-11.2,-2.4,-14.2,-10.1,-10.5
2015-02-28,4.2,7.2,14.9,-4.2,7.8,9,38.8,24.5,-0.6,-9.8,-4.9,-3.3,3.8,-6.9,-2.4,-2.9,68.5,6.6,17.3,3.1,7.7,8.3,11.9,11.3,11.8,10.2,-0.3,3.3,0.8,15.9,2.5,10.5,10.8,9.4
2015-03-31,-8.3,-10.6,-5.8,-12.7,-9.2,-8,-5.1,-6.5,-6.6,-4.6,-8.2,-8.8,-8.6,-4.8,-4.8,-6.7,-1.4,-5.7,8.5,-21.6,46.4,38.8,10.2,13.2,10.5,23.1,-4.6,-4.4,-4.6,-4.3,-4.4,-5.6,-4.7,-4.7
2015-04-30,-5.7,-1.7,-3.5,-5,-0.7,-3.6,2.8,0,-0.3,0.2,1.7,-0.4,-1.4,2.2,4.7,0.8,3.7,1.3,16.1,-19.1,53.5,46.1,14,17,14.4,28.4,-4.3,-3.2,-4,0.5,-0.4,-3.5,-1,-1.4
2015-05-31,-5,2.4,-3,-3.8,3,-2.1,2.6,0.5,0.8,-0.3,2.8,-0.3,2.3,2.4,14,3,2.8,3.1,15.6,-21.5,58.9,49.9,17.5,18.5,17.6,31.5,-6,-3.1,-5,0,0.1,-1.4,-0.4,-1
2015-06-30,-19.4,-16.5,-10.9,-23.5,-13.9,-15.3,-5.5,-10.2,-12.1,-15.9,-12.4,-18.1,-14.6,-5.2,-11.2,-12.6,-9,-11.9,8.6,-29.3,62.2,52,11,17.3,11.8,29,-2.1,-1.1,-1.7,7.2,5.6,0.2,4.3,3.7
2015-07-31,-4.2,-2.9,-5.5,-4.2,-3.4,-4.5,0.5,-1.8,-4.5,0.2,-1.5,-6.4,2.8,10.5,5.3,0.6,-0.1,0.7,6.8,-23.6,65.4,54.6,13.5,17.7,14,31.4,-4.7,-1.6,-3.7,-0.4,1.3,1.1,0.5,-0.1
2015-08-31,1,-5,-11.9,5.3,-5.3,-5.8,-9.2,-7.6,-6.8,0.9,-5.9,-8.7,-3.2,8.5,2.2,-1.9,-25.3,-6.5,1.5,-28.4,68.1,53.8,19,23.3,19.5,34.3,-4.8,-3.9,-4.5,-3.2,4.1,-3.2,-1.3,-1.7
2015-09-30,-1.6,1.5,0,-8.2,3.6,-0.3,12.9,7,-3.2,-7.3,-6,-4.6,-2.1,0.9,1.4,-2.9,30.3,2.8,12.6,-36.6,56.6,46.2,17.7,25.7,18.7,30.8,-3.1,-4,-3.4,3.5,1.3,5.8,3.7,2.7
2015-10-31,4.9,2.6,-3.3,-0.3,0.9,0.4,-3,-0.5,11.4,12.3,5.2,13.8,9.3,26.6,12.4,12.3,6,11.4,12.5,0.2,66.1,57.8,17.5,20.7,17.9,35.1,-3.1,-3.6,-3.3,-7.5,-0.3,-0.8,-3.6,-3.6
2015-11-30,-0.7,-0.1,-9,-3.9,-2.1,-4.2,-3.5,-3.7,-2.4,-1.2,-2.3,-5.3,-1.2,15.6,8.7,1.1,0.2,1,20.5,1.2,63.4,56.3,13.6,19.7,14.3,32.6,-5.8,-5.2,-5.6,-1.1,-0.8,-1,-1,-1.7
2015-12-31,-0.8,-12,-8.9,-12.8,-15.1,-8.3,-2.5,-5.1,-5.8,-10.1,-8.2,-14.3,-13.5,4.3,6.5,-6.4,-1.6,-5.7,14.7,9.2,22.5,21.5,18.1,25.9,19.1,20.3,-5,-9.3,-6.6,-6.5,-2.1,-4.4,-4.7,-5
2016-01-31,3.3,6,7.9,3,8.2,6.1,14.7,11,4.9,-2.8,3.5,7.6,5.5,8.8,8.4,4.9,33.1,9,18.5,6,45.7,41.8,19.3,40.4,21.9,31.5,2.1,-0.4,1.3,1.7,-0.8,7.4,2.7,2.6
2016-02-29,-0.3,-4.1,-9.9,-2.8,-6.9,-5.9,-8.3,-7,1.9,0,-2.9,-9.2,-2.6,15.4,8.4,1.8,-16.6,-1.9,23.5,5.1,39.4,36.3,23.3,52.4,26.7,31.4,-1.6,-3.2,-2.1,0.8,1.7,-3.3,-0.3,-0.5
2016-03-31,-4.7,1.8,-9.9,-9,-4.4,-6.4,-3.3,-4.6,-0.4,1.1,-2.3,-4.1,-4.2,-3.4,7.3,-0.6,3.1,0.3,11.2,-2.6,22.3,20.7,16.3,43.9,19.6,20.1,-4.6,-2.1,-3.8,1.3,2,0.8,1.3,0.6
2016-04-30,3.1,8.5,-1.5,0.5,0.4,1.3,1.8,1.7,1.8,3,4.8,6,2.9,3.9,8.6,4.1,4.5,4.3,12.3,-0.7,16.2,15.4,17.7,43.2,20.8,18.1,-4.5,-3.9,-4.4,-1.8,-0.7,-0.1,-1,-1.6
2016-05-31,-6,-7,-9,-16,-8,-9,-7,-6,-4,-4,-6,-6,-8,2,1,-4,1,-3,15,0,13,13,13,45,17,15,-8,-4,-7,-5,-5,-6,-5,-5
2016-06-30,7,11,-6,9,10,2,-1,1,12,12,15,5,8,6,20,12,12,12,15,10,12,12,21,48,24,18,-11,-3,-9,-10,-5,-6,-8,-8
2016-07-31,9,1,-3,-5,1,2,3,2,4,1,8,4,2,12,13,6,10,7,21,2,8,9,18,46,22,15,-10,-2,-8,-3,0,-3,-2,-3
2016-08-31,0,-4,-9,-15,-3,-5,2,-1,1,1,3,-5,0,5,5,2,15,4,14,10,9,9,19,51,23,16,-11,-2,-8,-3,4,2,1,-1
2016-09-30,1,-8,-7,-11,-4,-5,-3,-4,4,15,-1,-2,3,13,10,6,-2,4,16,6,8,9,19,48,23,16,-14,-4,-11,-3,2,-3,-1,-3
2016-10-31,-3,-6,-6,-18,-4,-6,7,1,1,3,4,5,0,16,13,5,14,6,16,11,9,10,18,47,21,16,-9,-4,-7,10,6,2,6,5
2016-11-30,-14,-9,-11,-16,-9,-12,0,-6,-4,-3,-3,-10,4,-19,3,-3,1,-3,8,3,8,8,19,51,23,15,-9,-4,-7,4,6,1,4,2
2016-12-31,-11,-7,-6,-16,-8,-9,5,-2,1,3,-1,1,0,5,9,2,8,3,17,7,6,7,19,43,22,14,-8,-3,-6,7,7,4,6,5
2017-01-31,5,-3,2,-10,5,2,19,11,0,-3,2,-3,2,1,8,1,18,5,20,12,7,8,21,35,23,15,-5,0,-4,7,4,7,6,5
2017-02-28,-14,-18,-19,-21,-22,-18,-21,-19,-5,10,-1,-3,-1,10,9,2,-19,-1,3,-8,3,3,15,26,16,9,-15,-10,-13,-10,5,-6,-5,-6
2017-03-31,0.5,-8.1,-4.1,-12.2,-3.1,-3.5,7.6,2.5,-3,4.4,-0.3,0.7,2.7,12.6,4.4,2.4,2.3,2.3,14.3,10.7,2.9,3.9,19,19.5,19.1,11.4,-10.6,-6.7,-9.3,2.6,7,3.5,3.9,2.3
2017-04-30,4.5,-2.3,-4.9,-9.7,-3.1,-2,6.1,2.3,-6.2,0.1,-1.2,-3,1,15.8,2.8,0.6,0.8,0.5,11.5,9.5,3.1,3.9,18.1,18.4,18.1,11.1,-10.1,-2.2,-7.6,0.3,5.2,2,2,0.9
2017-05-31,5.7,-4.2,-7.1,-10.6,-7.6,-3.2,6,1.6,-8.3,1.9,-1.2,-7.8,-2.1,15.6,-2.4,-1.6,-0.5,-1.9,9,4,4,4.4,16.9,14.5,16.4,10.6,-5,-0.2,-3.3,4.3,5.6,3.2,4.3,3.4
2017-06-30,-0.1,-5.5,-4.7,-6.5,-6.4,-3.8,7.6,2.3,-5.1,2.4,-1.6,-5.1,3.8,13.2,4.7,1.4,2,1.3,12.3,12.8,5,5.8,16.6,15.2,16.3,11.3,-6.3,-5.8,-6.1,4.2,5.6,3.1,4.3,3
2017-07-31,3.7,2.3,-4.8,-10.9,-3.7,-1.7,4.8,1.7,-9.9,-1.2,-2.7,-5.8,-2.8,10.2,2,-1.7,-0.1,-1.3,17,16.4,5.4,6.6,15.7,12.6,15.1,11,-6.9,-0.7,-4.7,2.1,5.5,2.7,3.2,2.2
2017-08-31,-7.5,-10.4,-8.5,-14.6,-12.4,-9.4,-1.2,-4.7,-6.8,0.2,-5.3,-0.3,0.5,9.9,4.7,0.5,-7.4,-0.8,16.6,6.4,7,7.7,10.2,10.1,10.2,9,-6.5,-3.3,-5.4,3,-0.2,-0.4,1.1,0.4
2017-09-30,-10.3,-10,-11.7,-15.4,-16.1,-12,-0.3,-4.9,-4,5.7,-0.5,3.9,6.9,12.8,14.7,5.5,3,4.9,8.4,-4.3,11.2,10.5,13.2,14.7,13.5,12.1,-6.4,-8,-7,3.4,4.7,2.3,3.4,2.1
2017-10-31,6.2,5.1,-2.1,-2.9,-2.1,1.2,8.8,5.3,-10.2,-7.5,-5,-9.4,1.4,-5.2,0.7,-4.6,0.9,-3.7,14.2,-0.4,7.2,7.5,14.2,8.1,12.9,10.3,-44.9,-2.7,-35,-4.5,-1.2,0.4,-2.1,-7.7
2017-11-30,3.7,5.7,-7.2,-0.5,-3.8,-1.4,1.2,0,-2.3,3.3,5.4,7.6,20.1,17.2,6.7,8.2,7.9,8.5,10.9,0,9.2,9.1,10.7,12.4,11.1,10.1,-7.1,-4,-5.9,-1.5,1.7,-0.8,-0.5,-1.2
2017-12-31,9.3,-0.8,-5.9,-5.1,-0.6,-0.5,3.8,2.2,-4.9,4.9,-3.3,0.5,7.8,12.3,9.6,3.5,0.5,3.2,11,-3.5,8.7,8.4,11.8,11,11.6,10.1,-9.7,-5.7,-8.2,2.5,2.5,-0.5,1.6,0.4
2018-01-31,-4.7,-24.5,-24.4,-19.8,-25.8,-18.6,-21.4,-20.2,-15.4,5.9,-15,-9.1,-11.9,12.6,4.5,-4.2,-30,-9.6,7,-8.2,12,10.9,7.9,12.4,8.8,9.8,-11.1,-11.1,-11.1,-1.9,4.4,-5,-1.4,-2.4
2018-02-28,18.7,4.3,6.7,-7.5,2.1,9,34.7,23.5,-7,-5.6,-8.1,2.5,3.4,3.3,4.8,-0.9,48.8,8.9,18.1,6.8,11.5,11.8,13.4,12.5,13.2,12.5,-2.9,0.5,-1.7,12.8,1.8,10.6,9.3,8.1
2018-03-31,11.6,0.2,-4.5,-5.5,-4.1,1,1.1,1,-3.2,1.5,0.9,7.4,3.6,19.8,11.4,5.6,1.8,5.4,16.1,8.5,15,14.9,11.9,12.7,12,13.4,-2.5,-2.3,-2.4,0.3,0.6,0.3,0.4,0.1
2018-04-30,5.2,-12.8,-11.2,-19.6,-12.6,-7.2,-2.4,-4.5,-7.2,-3.3,-7.8,-4.5,-7.1,11.3,11.1,-0.6,1.7,-0.2,8.2,0,12.8,12,7.5,11.8,8.4,10,-6.4,-7.2,-6.7,1.4,0.4,1.4,1.1,0.3
2018-05-31,0,-11.4,-11.3,-15.5,-12.3,-8,-1.8,-4.5,-6.3,1.6,-2.4,1.9,-2.1,3.2,15.7,1.9,1.9,1.8,16.4,7.3,11.4,11.7,5.8,11.4,6.9,9.1,-8.3,-7.8,-8.2,0,-3,1.4,-0.4,-1.2
2018-06-30,5.1,-1.9,-7.5,-9.9,-6.7,-3.1,2.7,0.2,-1,3,3,7.7,4.4,9.2,13.6,5.9,3.3,5.4,10.6,4.5,10.1,10,10.6,11.8,10.9,10.5,-6.1,-6.9,-6.4,6,3.3,2.9,4.3,3.1
2018-07-31,1.6,-4.8,-10,-9.3,-9.5,-5.4,-0.4,-2.5,-1.5,-0.4,-0.6,2.5,0.3,5.4,10.7,2.9,3.1,2.9,-0.9,-9.4,9.2,7.8,9.5,11.9,9.9,8.9,-8.8,-6.1,-7.8,4.6,1.6,2,3,1.8
2018-08-31,0.1,-8,-12,-11.9,-10.6,-7.5,2.8,-1.2,-1.3,-1.7,-3.3,1.2,-1.4,1.9,11.8,2.2,4.4,2.4,4.5,0.7,6.1,5.8,10.4,11.6,10.6,8.4,-9,-7.4,-8.5,7.8,7,2.9,6.2,4.6
2018-09-30,10.2,8.3,-0.4,-0.9,1.5,3.8,10.6,8.1,-3.6,0.5,-1.7,10.1,5.7,9.3,10.3,4.2,6.7,4.7,12.8,13.7,2,3.2,6.6,7.2,6.7,5.1,-3,-0.8,-2.3,7.6,1.8,3.1,4.7,3.9
2018-10-31,-18.9,-10,-19.8,-19.9,-19.5,-18.3,-11.6,-14.3,-9,7.9,1.5,0.5,2.4,1.8,12.1,2.5,-5.2,1.2,2,7,5.2,5,1.9,14.5,4.4,4.7,-11.5,-7,-9.9,4,3.8,-0.9,2.5,1
2018-11-30,-5.1,-17.5,-8.5,-17.5,-18.4,-10.7,3.4,-2.8,-7.3,-3.6,-10.7,-6.5,-13.2,2.3,10,-4.2,0.1,-3.9,5,8.3,4,4.2,7.8,11.6,8.6,6.5,-6,-3.9,-5.2,2.1,4.4,1.1,2.3,1.4
2018-12-31,-8,-6.7,-8.3,-9.6,-10.8,-8.4,-0.1,-3.6,-6.4,-7.3,-4.3,-4.1,2.7,2.8,9.8,0.1,-2.1,-0.7,4.3,3.9,2.9,3,5.4,12.4,6.8,5,0,0.3,0.1,4.8,5.3,2.9,4.3,3.8
2019-01-31,-4.9,-7.9,2.3,-14.1,-4.5,-2.7,12,6.3,-1.3,-7.6,-4.2,-2.2,-0.9,14.2,13.7,3.1,37.8,7.6,8.5,5.8,4.9,5.2,7.3,10.6,7.9,6.6,-4.6,7.2,-0.1,4.6,3.8,3.6,4.1,3.7
